Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Feng, J., Xu, Q., Li, X.-M., Yang, Y.-Z.","25821903100;37039984500;56011622200;35207497600;","Complex Network Study on Urban Rail Transit Systems",2017,"Jiaotong Yunshu Xitong Gongcheng Yu Xinxi/Journal of Transportation Systems Engineering and Information Technology","17","6",,"242","247",,8,"10.16097/j.cnki.1009-6744.2017.06.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040807350&doi=10.16097%2fj.cnki.1009-6744.2017.06.035&partnerID=40&md5=a0809342c87175c69fdf93386093fee8",Article,"Final","",Scopus,2-s2.0-85040807350
"Astegiano, J., Altermatt, F., Massol, F.","22133611700;16686534500;16234024600;","Disentangling the co-structure of multilayer interaction networks: Degree distribution and module composition in two-layer bipartite networks",2017,"Scientific Reports","7","1","15465","","",,8,"10.1038/s41598-017-15811-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034102478&doi=10.1038%2fs41598-017-15811-w&partnerID=40&md5=ee064cb53a84bd88447d1c5bb6baf4f0",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85034102478
"Zhang, Z., Wang, L., Jia, L., Li, F., Zhang, L., Zhao, M.","56822575600;57213182309;56937610900;55650932000;56066249200;55143406500;","Projective label propagation by label embedding: A deep label prediction framework for representation and classification",2017,"Knowledge-Based Systems","119",,,"94","112",,8,"10.1016/j.knosys.2016.12.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008366612&doi=10.1016%2fj.knosys.2016.12.005&partnerID=40&md5=039c7cea48a26975eaddcbf59e414d1a",Article,"Final","",Scopus,2-s2.0-85008366612
"Zhang, W., Wu, Q.M.J., Yang, Y., Akilan, T., Zhang, H.","57193673120;55613291700;56379191400;57211345939;56955310400;","A Width-Growth Model with Subnetwork Nodes and Refinement Structure for Representation Learning and Image Classification",2021,"IEEE Transactions on Industrial Informatics","17","3","9050859","1562","1572",,7,"10.1109/TII.2020.2983749","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097719008&doi=10.1109%2fTII.2020.2983749&partnerID=40&md5=9a40dc57a6f0fe8a570beb3dff5966c4",Article,"Final","",Scopus,2-s2.0-85097719008
"Zhang, H., Cui, H., Wang, W., Song, W.","56915801300;57210312353;57201867012;57221015356;","Properties of Chinese railway network: Multilayer structures based on timetable data",2020,"Physica A: Statistical Mechanics and its Applications","560",,"125184","","",,7,"10.1016/j.physa.2020.125184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090218553&doi=10.1016%2fj.physa.2020.125184&partnerID=40&md5=828b2c3f9080319a3a8da399605c09e5",Article,"Final","",Scopus,2-s2.0-85090218553
"Zhang, X., Tang, L., Lu, J.","57217688914;51663972300;7601562455;","Synchronization Analysis on Two-Layer Networks of Fractional-Order Systems: IntraIayer and InterIayer Synchronization",2020,"IEEE Transactions on Circuits and Systems I: Regular Papers","67","7","8998552","2397","2408",,7,"10.1109/TCSI.2020.2971608","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087523371&doi=10.1109%2fTCSI.2020.2971608&partnerID=40&md5=ce62f195574ead2bbe69eb8ddbb6955d",Article,"Final","",Scopus,2-s2.0-85087523371
"Sorrentino, F., Pecora, L., Trajkovic, L.","57203233721;7005178558;55934627000;","Group Consensus in Multilayer Networks",2020,"IEEE Transactions on Network Science and Engineering","7","3","8964486","2016","2026",,7,"10.1109/TNSE.2020.2968436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086778815&doi=10.1109%2fTNSE.2020.2968436&partnerID=40&md5=ed48b37ea6394a218ea5f6480eabc622",Article,"Final","",Scopus,2-s2.0-85086778815
"Kazawa, Y., Tsugawa, S.","57191223161;36469060100;","Effectiveness of link-addition strategies for improving the robustness of both multiplex and interdependent networks",2020,"Physica A: Statistical Mechanics and its Applications","545",,"123586","","",,7,"10.1016/j.physa.2019.123586","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076520828&doi=10.1016%2fj.physa.2019.123586&partnerID=40&md5=007394767a40792d48b4df1c392c47f6",Article,"Final","",Scopus,2-s2.0-85076520828
"Tran, D.T., Kiranyaz, S., Gabbouj, M., Iosifidis, A.","57208873207;7801632948;7005332419;36720841400;","Progressive Operational Perceptrons with Memory",2020,"Neurocomputing","379",,,"172","181",,7,"10.1016/j.neucom.2019.10.079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075527604&doi=10.1016%2fj.neucom.2019.10.079&partnerID=40&md5=ac6224a30da2a962735a7d9633506701",Article,"Final","",Scopus,2-s2.0-85075527604
"Boekhout, H.D., Kosters, W.A., Takes, F.W.","57191428880;56350283500;54581584500;","Efficiently counting complex multilayer temporal motifs in large-scale networks",2019,"Computational Social Networks","6","1","8","","",,7,"10.1186/s40649-019-0068-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073053523&doi=10.1186%2fs40649-019-0068-z&partnerID=40&md5=4e245fd10fd22c243ef4f329a6b774ce",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85073053523
